trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
20,0,20,0,36.92212549999999,,36.91210070000011,36.92212549999999,37.92328980000002,37.92328980000002,39.06211150000013,-2,down,1,1.1225369000001137,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
21,0,21,0,39.07447490000004,,39.064468600000055,39.07447490000004,40.07568050000009,40.07568050000009,40.91402870000002,-3,down,1,0.8214001999999709,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
22,0,22,0,40.92646800000011,,40.91634470000008,40.92646800000011,41.92769420000013,41.92769420000013,42.6660095000002,0,up,1,0.7283824000001005,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
23,0,23,0,42.67846660000009,,42.668365500000164,42.67846660000009,43.67959140000016,43.67959140000016,44.55160890000002,-3,down,1,0.8566230999999789,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
24,0,24,0,44.564055600000074,,44.554015900000195,44.564055600000074,45.56497420000005,45.56497420000005,46.303288000000066,2,down,1,0.722396199999821,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
25,0,25,0,46.31568200000015,,46.305601600000045,46.31568200000015,47.316869500000166,47.316869500000166,48.088568600000144,0,up,1,0.7556515999999647,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
26,0,26,0,48.10098210000001,,48.090913,48.10098210000001,49.10217680000005,49.10217680000005,50.57475680000016,0,up,1,1.4654563999999937,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
27,0,27,0,50.58721370000012,,50.57710760000009,50.58721370000012,51.588271100000156,51.588271100000156,52.22634230000017,0,up,1,0.6273855000001731,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
28,0,28,0,52.238944100000026,,52.22875910000016,52.238944100000026,53.24000799999999,53.24000799999999,53.92842089999999,2,down,1,0.6808379999999943,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
29,0,29,0,53.94072100000017,,53.93077620000008,53.94072100000017,54.94186170000012,54.94186170000012,56.58143670000004,0,up,1,1.6245399000001726,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
30,0,30,0,56.59360700000002,,56.583761600000116,56.59360700000002,57.594648100000086,57.594648100000086,59.100604700000076,0,down,0,1.4943060000000514,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
31,0,31,0,59.113041100000146,,59.102971000000025,59.113041100000146,60.11409709999998,60.11409709999998,61.436485300000186,0,up,1,1.3105359999999564,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
32,0,32,0,61.44891120000011,,61.438847399999986,61.44891120000011,62.45009049999999,62.45009049999999,63.23862170000007,-2,up,0,0.7850409999998647,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
33,0,33,0,63.25089290000005,,63.24098920000006,63.25089290000005,64.25205730000016,64.25205730000016,65.09058620000019,0,up,1,0.8323778999999831,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
34,0,34,0,65.10292500000014,,65.09297900000001,65.10292500000014,66.10409410000011,66.10409410000011,66.92757380000012,-4,down,1,0.8205347000000529,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
35,0,35,0,66.93836030000011,,66.92990540000005,66.93836030000011,67.93944929999998,67.93944929999998,69.0950577000001,0,down,0,1.148261199999979,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
36,0,36,0,69.10731670000018,,69.0974262000002,69.10731670000018,70.10852420000015,70.10852420000015,73.09925670000007,-2,up,0,2.9814177000000655,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
37,0,37,0,73.11165240000014,,73.10162340000011,73.11165240000014,74.11282030000007,74.11282030000007,75.05145830000015,-4,down,1,0.9325893000000178,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
38,0,38,0,75.06381420000002,,75.05379170000015,75.06381420000002,76.06496379999999,76.06496379999999,77.60436200000004,0,up,1,1.5346715000000586,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
39,0,39,0,77.61660940000002,,77.6067379000001,77.61660940000002,78.61781280000014,78.61781280000014,79.30604030000018,0,down,0,0.6759120000001531,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
40,0,40,0,79.31849510000006,,79.30838410000001,79.31849510000006,80.32049210000014,80.32049210000014,81.35836570000015,-2,down,1,1.0274371999998948,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
41,0,41,0,81.37063490000014,,81.36071740000011,81.37063490000014,82.37187040000003,82.37187040000003,82.8933621000001,-5,down,1,0.5052062000002024,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
42,0,42,0,82.90572600000019,,82.89568640000016,82.90572600000019,83.9068877000002,83.9068877000002,84.59548000000018,0,up,1,0.6823781000000508,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
43,0,43,0,84.60782830000016,,84.59784850000005,84.60782830000016,85.6086358,85.6086358,86.66408539999998,0,up,1,1.0487840000000688,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
44,0,44,0,86.67657900000017,,86.66643810000005,86.67657900000017,87.67771720000019,87.67771720000019,88.29959400000007,0,up,1,0.6207882000001064,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
45,0,45,0,88.31170960000009,,88.30184910000003,88.31170960000009,89.31283789999998,89.31283789999998,89.9511794,0,up,1,0.6368680000000495,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
46,0,46,0,89.96344390000013,,89.95353190000014,89.96344390000013,90.96462630000019,90.96462630000019,91.71978020000006,-5,down,1,0.7468087999998261,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
47,0,47,0,91.73200730000008,,91.72213710000005,91.73200730000008,92.73325390000014,92.73325390000014,93.75534710000011,-2,down,1,1.015464399999928,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
48,0,48,0,93.76762080000003,,93.7577173000002,93.76762080000003,94.76881890000004,94.76881890000004,95.48281540000016,-4,down,1,0.692870700000185,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
49,0,49,0,95.50283020000006,,95.48642170000016,95.50283020000006,96.48735050000005,96.50407600000017,97.99550010000007,1,up,0,1.495106000000078,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
50,0,50,0,98.02102720000016,,97.99898960000019,98.02102720000016,99.00677140000016,99.0234676,99.6949998,1,up,0,0.6767758999999387,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
51,0,51,0,99.70738590000019,,99.69731700000011,99.70738590000019,100.70859510000014,100.70859510000014,101.41335730000014,4,down,1,0.6923185999999077,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
52,0,52,0,101.42578739999999,,101.41568970000003,101.42578739999999,102.42703330000018,102.42703330000018,102.99857300000008,0,down,0,0.5641135999999278,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
53,0,53,0,103.0109493,,103.00093400000014,103.0109493,104.0122044000002,104.0122044000002,105.00099320000004,-3,down,1,0.985052400000086,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
54,0,54,0,105.01334840000004,,105.00335200000018,105.01334840000004,106.01429080000003,106.01429080000003,106.8191776000001,4,down,1,0.7890967000000728,None,298070,001,2024-09-13_11h27.17.413,signal_detection_exp,2024.1.5,None,2024-09-13 11h27.22.695197 +0530,
