reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,4,0,28,3,47.90665600000648,,47.88195039999846,47.90665600000648,48.90777780000644,48.90777780000644,48.925689099996816,49.399169500000426,t,0.48941690000356175,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
27,30,21,4,1,29,2,49.425041199996485,,49.400828300000285,49.425041199996485,50.42577770000207,50.42577770000207,50.44361060000665,50.819679000007454,t,0.3786217000015313,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
78,80,162,4,2,30,6,50.84287469999981,,50.82110270000703,50.84287469999981,51.84405159999733,51.84405159999733,51.86178249999648,52.23737550000078,t,0.38549100000818726,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
49,60,89,4,3,31,4,52.261092800006736,,52.23881280000205,52.261092800006736,53.24715239999932,53.24715239999932,53.26380840000638,53.67419040000823,t,0.4165223999880254,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
11,30,7,4,4,32,0,53.696522600002936,,53.67584350000834,53.696522600002936,54.68203730000823,54.68203730000823,54.69852710000123,55.22347759999684,l,0.5154990000010002,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
15,35,13,4,5,33,1,55.24791930000356,,55.22499329999846,55.24791930000356,56.24878660000104,56.24878660000104,56.26653130000341,56.64225620000798,t,0.3833736999949906,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
67,75,119,4,6,34,5,56.66589780000504,,56.64369710000756,56.66589780000504,57.666990600002464,57.666990600002464,57.684762200005935,58.027025400006096,t,0.3460969000007026,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
15,35,13,5,0,35,1,58.0507576999953,,58.02845320000779,58.0507576999953,59.051904699997976,59.051904699997976,59.06972329999553,59.761605000006966,t,0.6845538000052329,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
78,80,162,5,1,36,6,59.78637719999824,,59.76300160000392,59.78637719999824,60.78739330000826,60.78739330000826,60.805202500007,61.29728189999878,t,0.5016239999968093,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
40,55,62,5,2,37,3,61.32104419999814,,61.29871859999548,61.32104419999814,62.32214010000462,62.32214010000462,62.33983989999979,62.898056000005454,t,0.56693259999156,None,507725,001,2024-11-21_10h07.59.652,delay_discounting_task,2024.1.5,None,2024-11-21 10h08.08.681569 +0530,
