trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
130,0,130,0,211.97859569999855,,211.93645240000114,5,211.97859569999855,211.97859569999855,0.029075499998725718,213.18365460000132,[-0.09833333333333333],[0.10666666666666667],[1],[0],[0],[1.218784600001527],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
131,0,131,0,213.2473295000018,,213.18960460000017,5,213.2473295000018,213.2473295000018,0.028197299998282688,214.13535200000115,[-0.045],[0.40166666666666667],[1],[0],[0],[0.9181796000011673],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
132,0,132,0,214.19765280000138,,214.14211459999933,5,214.19765280000138,214.19765280000138,0.030176200001733378,215.2702352999986,[0.3933333333333333],[0.245],[1],[0],[0],[1.098788000002969],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
133,0,133,0,215.3320351000002,,215.27601660000073,5,215.3320351000002,215.3320351000002,0.029552700001659105,217.02126230000067,[0.18333333333333332],[-0.395],[1],[0],[0],[1.716304300000047],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
134,0,134,0,217.1183267999986,,217.02714790000027,10,217.1183267999986,217.1183267999986,0.056740299998637056,219.0901640000011,[-0.02],[0.09666666666666666],[1],[0],[0],[2.0067132000003767],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
135,0,135,0,219.16996859999927,,219.10026329999891,5,219.16996859999927,219.16996859999927,0.045552999999927124,220.4571489000009,[-0.5033333333333333],[-0.12666666666666668],[1],[0],[0],[1.313105799999903],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
136,0,136,0,220.50444720000087,,220.46290560000125,5,220.50444720000087,220.50444720000087,0.028500000000349246,221.6263680000011,[-0.04833333333333333],[0.35833333333333334],[1],[0],[0],[1.13556520000202],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
137,0,137,0,221.70680670000002,,221.6322074000018,10,221.70680670000002,221.70680670000002,0.05523410000023432,223.0765664999999,[-0.2683333333333333],[-0.43166666666666664],[1],[0],[0],[1.3897741000000678],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
138,0,138,0,223.17402460000085,,223.08246399999916,10,223.17402460000085,223.17402460000085,0.05508220000047004,224.9120436000012,[0.36666666666666664],[-0.12833333333333333],[1],[0],[0],[1.7751523999977508],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
139,0,139,0,225.0101117000013,,224.9179949999998,10,225.0101117000013,225.0101117000013,0.05745000000024447,227.98151589999907,[-0.345],[-0.22333333333333333],[1],[0],[0],[3.0067457999975886],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
140,0,140,0,228.04646579999826,,227.98725840000043,5,228.04646579999826,228.04646579999826,0.029093100001773564,229.3190848000013,[0.205],[0.07833333333333334],[1],[0],[0],[1.3033098999985668],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
141,0,141,0,229.38167109999995,,229.32519590000084,5,229.38167109999995,229.38167109999995,0.028773899997759145,230.38769989999855,[0.44166666666666665],[0.29833333333333334],[1],[0],[0],[1.034333700001298],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
142,0,142,0,230.48207909999837,,230.39364280000154,10,230.48207909999837,230.48207909999837,0.06060559999968973,231.83643070000107,[-0.235],[-0.13666666666666666],[1],[0],[0],[1.3828130999972927],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
143,0,143,0,231.90088109999851,,231.84790300000168,5,231.90088109999851,231.90088109999851,0.040203000000474276,232.9054028999999,[0.32],[0.11166666666666666],[1],[0],[0],[1.0194200000005367],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
144,0,144,0,233.0020708000011,,232.9111183999994,10,233.0020708000011,233.0020708000011,0.056036500001937384,234.30557709999994,[0.20666666666666667],[0.31],[1],[0],[0],[1.339064600000711],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
145,0,145,0,234.40399930000058,,234.31130869999834,10,234.40399930000058,234.40399930000058,0.055383499999152264,235.40673510000124,[-0.08833333333333333],[0.2916666666666667],[1],[0],[0],[1.0406285999997635],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
146,0,146,0,235.45449310000186,,235.41256879999855,5,235.45449310000186,235.45449310000186,0.029417000001558335,236.8602744000018,[-0.08833333333333333],[-0.23666666666666666],[1],[0],[0],[1.4189996999994037],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
147,0,147,0,236.92246689999956,,236.86590680000154,5,236.92246689999956,236.92246689999956,0.028670299998339033,237.96129830000064,[-0.11833333333333333],[0.056666666666666664],[1],[0],[0],[1.0673177999997279],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
148,0,148,0,238.05707039999834,,237.96719289999965,10,238.05707039999834,238.05707039999834,0.0561470000029658,239.06004780000148,[0.3016666666666667],[0.325],[1],[0],[0],[1.0373489999983576],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
149,0,149,0,239.1427248,,239.06591000000117,10,239.1427248,239.1427248,0.05398769999737851,241.2797400999989,[-0.06333333333333334],[-0.23333333333333334],[1],[0],[0],[2.1605244999991555],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
150,0,150,0,241.37807420000172,,241.28556839999874,10,241.37807420000172,241.37807420000172,0.05578330000207643,243.04932840000038,[-0.08666666666666667],[-0.35333333333333333],[1],[0],[0],[1.7086228000007395],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
151,0,151,0,243.11365060000026,,243.0551196000015,5,243.11365060000026,243.11365060000026,0.035211800000979565,244.26923449999958,[0.39666666666666667],[0.165],[1],[0],[0],[1.1795229999988806],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
152,0,152,0,244.33055009999953,,244.27490640000178,5,244.33055009999953,244.33055009999953,0.027075599999079714,245.1696333,[0.4083333333333333],[0.043333333333333335],[1],[0],[0],[0.8682429000000411],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
153,0,153,0,245.2659950999987,,245.1754108999994,10,245.2659950999987,245.2659950999987,0.05800900000031106,247.00254249999853,[0.04833333333333333],[0.4083333333333333],[1],[0],[0],[1.7698008000006666],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
154,0,154,0,247.05021040000065,,247.0082927000003,5,247.05021040000065,247.05021040000065,0.028524400000605965,248.01997839999967,[-0.13166666666666665],[0.42833333333333334],[1],[0],[0],[0.9838340999995125],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
155,0,155,0,248.06791050000174,,248.0257386000012,5,248.06791050000174,248.06791050000174,0.028391899999405723,249.271373399999,[0.12],[-0.27666666666666667],[1],[0],[0],[1.2177603999989515],['target'],492063,001,2024-10-10_15h34.59.354,visual_search_exp,2024.1.5,None,2024-10-10 15h35.09.444867 +0530,
