pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-150,z,,,,,22,2,90,3,714.7389103999594,,714.7163257000502,714.7389103999594,715.7400117999641,715.7400117999641,715.7400117999641,715.7400117999641,715.7733772000065,716.7412415000144,716.7412415000144,717.2169514000416,z,1,0.44358189997728914,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,,,,,22,3,91,1,717.2418039999902,,717.2194852000102,717.2418039999902,718.2430606000125,718.2430606000125,718.2430606000125,718.2430606000125,718.2763628000394,719.2439973000437,719.2439973000437,719.8869247999974,v,1,0.6398468000115827,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-150,z,,,,,23,0,92,3,719.911459099967,,719.8894932999974,719.911459099967,720.91257340007,720.91257340007,720.91257340007,720.91257340007,720.9458218000364,721.9137432000134,721.9137432000134,722.48942420003,z,1,0.5492561999708414,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,,,,,23,1,93,1,722.5141233999748,,722.4920830000192,722.5141233999748,723.5155293999705,723.5155293999705,723.5155293999705,723.5155293999705,723.5487443000311,724.5165274000028,724.5165274000028,725.1079913000576,v,1,0.5873955000424758,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,,,,,23,2,94,2,725.1177100000205,,725.1094694000203,725.1177100000205,726.13494550006,726.13494550006,726.13494550006,726.13494550006,726.13494550006,727.1361558999633,727.1361558999633,727.8450489999959,c,1,0.6972249000100419,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,,,,,23,3,95,2,727.870194899966,,727.8476149999769,727.870194899966,728.8712181999581,728.8712181999581,728.8712181999581,728.8712181999581,728.9044510000385,729.8724383000517,729.8724383000517,730.4822702000383,c,1,0.590387599891983,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-150,z,,,,,24,0,96,3,730.5061137999874,,730.4848473999882,730.5061137999874,731.5240416000597,731.5240416000597,731.5240416000597,731.5240416000597,731.5240416000597,732.5252393999835,732.5252393999835,733.0678808999946,z,1,0.5172194999177009,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,,,,,24,1,97,1,733.092444500071,,733.0704176999861,733.092444500071,734.0936623000307,734.0936623000307,734.0936623000307,734.0936623000307,734.1270167999901,735.0947679000674,735.0947679000674,735.8703312999569,v,1,0.7621350000845268,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
-150,z,,,,,24,2,98,3,735.8953521000221,,735.8729194999905,735.8953521000221,736.8964635999873,736.8964635999873,736.8964635999873,736.8964635999873,736.9299450999824,737.8978621000424,737.8978621000424,738.5736808000365,z,1,0.6484463999513537,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
150,v,,,,,24,3,99,1,738.5985521000111,,738.5762096999679,738.5985521000111,739.5994727000361,739.5994727000361,739.5994727000361,739.5994727000361,739.6328444000101,740.6006925000111,740.6006925000111,741.1769933999749,v,1,0.5724068999988958,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
50,c,,,,,25,0,100,2,741.201331499964,,741.1795870000497,741.201331499964,742.2024346999824,742.2024346999824,742.2024346999824,742.2024346999824,742.2358405999839,743.2036586999893,743.2036586999893,743.8463694000384,c,1,0.6349157999502495,None,686082,001,2024-10-17_09h18.40.773,motor_sequence_learning_exp,2024.1.5,None,2024-10-17 09h18.48.572051 +0530,
